months_as_customer,age,policy_state,policy_csl,policy_detuctable,policy_monthly_premium,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,total_policy_premium_by_months_customer
164,38, Illinois,250/500,2000,"10,581",126976,FEMALE,PhD,transport-moving,yachting,not-in-family,17/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,4,1,NO,1,YES,90000,18000,9000,63000,Ford,2015,NO,1735339
155,34,Indiana,100/300,500,"14,223",170679,MALE,Masters,protective-serv,dancing,other-relative,7/1/2015,Single Vehicle Collision,Front Collision,Minor Damage,OH,1,1,NO,1,YES,77040,8560,8560,59920,Honda,1998,NO,2204604
128,28,Ohio,500/1000,1000,"8,221",98653,FEMALE,High School,adm-clerical,polo,other-relative,16/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,VA,11,1,NO,0,YES,101860,18520,18520,64820,Honda,2007,NO,1052299
359,47,Ohio,100/300,2000,"11,397",136768,FEMALE,MD,handlers-cleaners,basketball,unmarried,11/1/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,13,1,NO,0,NO,55500,5550,11100,38850,Mercedes,2012,NO,4091643
223,43,Ohio,500/1000,500,"1,029",12351,FEMALE,Masters,tech-support,exercise,not-in-family,10/2/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,14,1,NO,2,NO,54400,5440,5440,43520,BMW,2011,NO,229523
69,26, Illinois,100/300,2000,"7,706",92472,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,7/1/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,14,1,NO,2,NO,63120,5260,10520,47340,Audi,2008,NO,531714
298,49,Ohio,250/500,500,"12,092",145101,FEMALE,College,other-service,exercise,own-child,21/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,17,1,NO,2,NO,28100,2810,5620,19670,Jeep,2012,NO,3603342
166,34,Ohio,100/300,1000,"9,031",108372,FEMALE,High School,machine-op-inspct,base-jumping,wife,9/2/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,18,1,NO,0,YES,53680,4880,4880,43920,Honda,2005,NO,1499146
298,46,Ohio,500/1000,1000,"9,487",113842,MALE,JD,prof-specialty,dancing,own-child,16/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,18,1,NO,2,YES,33550,3050,6100,24400,Volkswagen,2005,NO,2827076
84,30, Illinois,500/1000,2000,"8,632",103579,FEMALE,MD,protective-serv,kayaking,wife,30/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,9,1,NO,1,YES,57640,5240,10480,41920,Volkswagen,2010,NO,725053
121,31, Illinois,500/1000,1000,"8,850",106198,FEMALE,JD,armed-forces,camping,unmarried,1/2/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,16,1,NO,0,YES,65250,7250,7250,50750,BMW,2002,NO,1070830
292,44,Ohio,500/1000,500,"9,146",109757,MALE,PhD,priv-house-serv,basketball,unmarried,28/02/2015,Single Vehicle Collision,Side Collision,Total Loss,SC,12,1,NO,1,YES,61700,6170,6170,49360,Saab,2005,NO,2670754
289,47,Ohio,500/1000,2000,"9,186",110229,FEMALE,Associate,adm-clerical,hiking,own-child,31/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,VA,15,1,NO,1,YES,54000,6000,6000,42000,Toyota,1996,NO,2654682
254,41, Illinois,250/500,2000,"10,342",124104,FEMALE,Masters,protective-serv,board-games,own-child,4/1/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,16,1,NO,2,YES,100210,18220,18220,63770,Audi,2014,NO,2626868
103,33,Indiana,100/300,1000,"8,082",96988,MALE,MD,armed-forces,exercise,own-child,21/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,21,1,NO,1,YES,76920,12820,6410,57690,Chevrolet,2002,NO,832480
108,32,Ohio,500/1000,2000,105,1257,FEMALE,High School,machine-op-inspct,basketball,unmarried,11/1/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,23,1,NO,1,NO,61270,5570,11140,44560,Suburu,1999,NO,11313
102,28,Ohio,250/500,500,"8,962",107541,MALE,MD,machine-op-inspct,reading,wife,15/02/2015,Single Vehicle Collision,Side Collision,Total Loss,PA,6,1,NO,1,NO,73400,7340,7340,58720,Dodge,1996,NO,914099
108,31,Indiana,500/1000,2000,980,11757,MALE,Masters,protective-serv,yachting,not-in-family,19/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,14,1,NO,0,NO,57330,6370,6370,44590,Dodge,2006,NO,105813
88,30,Indiana,100/300,1000,"11,982",143788,FEMALE,College,transport-moving,reading,husband,25/02/2015,Single Vehicle Collision,Side Collision,Total Loss,SC,3,1,NO,2,YES,56000,14000,0,42000,Chevrolet,2003,NO,1054445
294,46, Illinois,100/300,500,"1,277",15328,MALE,College,prof-specialty,exercise,own-child,23/02/2015,Single Vehicle Collision,Side Collision,Total Loss,SC,8,1,NO,0,YES,65780,11960,11960,41860,Mercedes,2013,NO,375536
334,46, Illinois,100/300,1000,"7,307",87688,MALE,MD,sales,reading,other-relative,3/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,2,1,NO,2,NO,57330,12740,6370,38220,Jeep,1998,NO,2440649
86,29, Illinois,100/300,2000,"11,742",140906,MALE,High School,prof-specialty,yachting,husband,30/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,0,1,NO,2,YES,62920,9680,14520,38720,Accura,2005,NO,1009826
479,60, Illinois,100/300,2000,"10,874",130483,FEMALE,College,other-service,cross-fit,husband,9/1/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,18,1,NO,0,NO,60600,5050,10100,45450,Honda,2001,NO,5208446
230,44,Indiana,250/500,2000,"8,411",100937,FEMALE,College,prof-specialty,hiking,other-relative,17/02/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,19,1,NO,0,YES,74140,13480,13480,47180,BMW,2015,NO,1934626
392,50,Ohio,100/300,2000,"9,241",110897,FEMALE,PhD,exec-managerial,exercise,not-in-family,14/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,4,1,NO,2,YES,108030,16620,16620,74790,Saab,2002,NO,3622635
143,30,Indiana,100/300,500,"11,603",139239,FEMALE,High School,exec-managerial,dancing,unmarried,12/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,16,1,NO,2,YES,54300,10860,5430,38010,Toyota,2010,NO,1659265
165,35, Illinois,250/500,500,"7,500",90002,MALE,College,craft-repair,camping,own-child,24/02/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,8,1,NO,1,YES,69700,6970,6970,55760,BMW,2008,NO,1237528
255,45, Illinois,500/1000,500,"9,936",119227,MALE,High School,sales,base-jumping,own-child,4/1/2015,Single Vehicle Collision,Front Collision,Total Loss,NC,16,1,NO,2,YES,67320,12240,12240,42840,Ford,2006,NO,2533574
472,64,Indiana,250/500,500,"8,244",98924,MALE,Masters,other-service,skydiving,not-in-family,21/02/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,13,1,NO,2,NO,70900,14180,7090,49630,Mercedes,2002,NO,3891011
246,44,Ohio,100/300,1000,116,1397,MALE,High School,machine-op-inspct,reading,not-in-family,3/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,6,1,NO,1,NO,61740,6860,6860,48020,Accura,1997,NO,28639
463,57, Illinois,250/500,500,"8,864",106367,MALE,Masters,priv-house-serv,dancing,wife,3/2/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,14,1,NO,2,YES,59400,6600,6600,46200,Dodge,1995,NO,4103993
287,45,Ohio,500/1000,1000,"10,256",123069,MALE,Masters,transport-moving,golf,not-in-family,10/1/2015,Single Vehicle Collision,Front Collision,Minor Damage,VA,19,1,NO,0,NO,53800,5380,5380,43040,Accura,2006,NO,2943400
235,40, Illinois,500/1000,500,"11,658",139894,MALE,College,craft-repair,bungie-jumping,husband,24/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,11,1,NO,1,NO,68300,6830,13660,47810,Suburu,2003,NO,2739591
2,20,Indiana,500/1000,1000,"9,917",118998,FEMALE,High School,craft-repair,golf,other-relative,1/2/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,22,1,NO,1,YES,48360,4030,8060,36270,Audi,2000,NO,19833
278,47,Indiana,500/1000,500,"10,708",128501,MALE,Masters,machine-op-inspct,sleeping,not-in-family,2/2/2015,Single Vehicle Collision,Rear Collision,Major Damage,VA,21,1,NO,2,YES,58500,5850,5850,46800,Toyota,2010,NO,2976940
99,28,Ohio,100/300,500,"11,087",133039,MALE,MD,prof-specialty,basketball,wife,22/01/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,3,1,NO,2,YES,49900,4990,9980,34930,Dodge,1998,NO,1097572
116,31,Indiana,250/500,500,"9,957",119483,FEMALE,MD,prof-specialty,camping,husband,20/01/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,23,1,NO,0,NO,44200,4420,8840,30940,Suburu,1997,NO,1155002
100,33,Ohio,250/500,500,"9,372",112459,MALE,College,adm-clerical,golf,not-in-family,26/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NC,4,1,NO,1,NO,40800,6800,6800,27200,BMW,2004,NO,937158
193,40, Illinois,100/300,500,"9,628",115538,FEMALE,PhD,handlers-cleaners,movies,not-in-family,28/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,6,1,NO,0,YES,63900,6390,6390,51120,Accura,2001,NO,1858236
436,60,Indiana,250/500,500,"11,353",136231,MALE,High School,prof-specialty,bungie-jumping,wife,13/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,VA,16,1,NO,0,NO,82060,14920,7460,59680,Saab,2005,NO,4949726
458,61,Indiana,100/300,1000,"11,068",132818,FEMALE,High School,protective-serv,bungie-jumping,other-relative,25/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,WV,18,1,NO,2,NO,56340,6260,6260,43820,Volkswagen,2003,NO,5069220
290,42,Indiana,500/1000,500,"8,250",98997,MALE,Masters,machine-op-inspct,kayaking,own-child,20/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,10,1,NO,0,NO,48000,4800,9600,33600,Saab,2013,NO,2392428
148,36, Illinois,500/1000,1000,"10,303",123632,FEMALE,MD,adm-clerical,hiking,own-child,10/1/2015,Single Vehicle Collision,Side Collision,Total Loss,PA,0,1,NO,2,NO,61050,5550,11100,44400,Dodge,2009,NO,1524795
257,43,Indiana,100/300,1000,"8,124",97484,FEMALE,JD,transport-moving,kayaking,other-relative,26/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,VA,0,1,NO,0,YES,85320,21330,7110,56880,Nissan,2006,NO,2087782
234,43,Ohio,250/500,500,"10,475",125704,MALE,Associate,protective-serv,reading,own-child,1/3/2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,4,1,NO,2,YES,51600,10320,5160,36120,Dodge,2011,NO,2451228
266,46,Ohio,100/300,2000,"13,155",157854,MALE,Associate,handlers-cleaners,chess,husband,21/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,WV,18,1,NO,1,YES,83490,7590,15180,60720,Nissan,1996,NO,3499097
260,46,Ohio,100/300,2000,"12,355",148257,MALE,MD,priv-house-serv,reading,husband,20/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,7,1,NO,0,NO,64080,10680,10680,42720,Toyota,2005,NO,3212235
152,33,Indiana,100/300,1000,"8,619",103427,FEMALE,JD,armed-forces,exercise,husband,6/2/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,18,1,NO,1,NO,63900,7100,7100,49700,Accura,2014,NO,1310075
141,30, Illinois,250/500,1000,"15,432",185178,FEMALE,High School,craft-repair,exercise,other-relative,9/2/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,13,1,NO,1,YES,61740,6860,6860,48020,Audi,2002,NO,2175842
237,43,Ohio,250/500,500,"7,596",91153,FEMALE,PhD,sales,basketball,husband,25/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,WV,23,1,NO,0,NO,59200,0,11840,47360,Chevrolet,1998,NO,1800272
285,48, Illinois,100/300,2000,"9,182",110185,FEMALE,College,sales,dancing,wife,27/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,PA,9,1,NO,1,YES,33480,3720,3720,26040,Nissan,2012,NO,2616894
229,41,Ohio,250/500,2000,"9,230",110759,MALE,PhD,tech-support,chess,not-in-family,23/01/2015,Single Vehicle Collision,Side Collision,Major Damage,NY,23,1,NO,1,NO,62640,10440,10440,41760,Mercedes,2009,NO,2113651
214,40,Ohio,100/300,1000,137,1648,MALE,JD,transport-moving,base-jumping,not-in-family,4/2/2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,17,1,NO,1,YES,44220,8040,4020,32160,Accura,2000,NO,29389
126,31,Ohio,250/500,1000,"11,069",132826,MALE,Masters,sales,exercise,not-in-family,2/1/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,17,1,NO,1,NO,60840,13520,6760,40560,Suburu,2011,NO,1394673
205,42, Illinois,100/300,2000,"1,156",13877,FEMALE,High School,priv-house-serv,skydiving,other-relative,18/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,19,1,NO,2,NO,86130,15660,15660,54810,Chevrolet,1995,NO,237065
229,37,Indiana,500/1000,1000,"11,100",133194,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,5/2/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,17,1,NO,0,YES,54560,9920,9920,34720,Saab,2004,NO,2541786
257,44,Ohio,100/300,1000,"10,674",128088,MALE,MD,other-service,basketball,other-relative,6/2/2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,21,1,NO,0,NO,46980,0,5220,41760,Accura,2002,NO,2743218
60,23,Ohio,500/1000,500,"10,128",121536,MALE,MD,protective-serv,reading,wife,22/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,9,1,YES,1,NO,56520,4710,9420,42390,Saab,2000,NO,607680
160,37,Ohio,500/1000,500,"11,452",137422,FEMALE,MD,craft-repair,yachting,other-relative,19/01/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,19,1,YES,1,NO,72930,6630,13260,53040,Accura,2015,NO,1832293
149,37, Illinois,500/1000,500,"11,797",141568,MALE,PhD,prof-specialty,yachting,own-child,12/2/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,17,1,YES,0,YES,64800,10800,5400,48600,Audi,1999,NO,1757803
22,26,Ohio,100/300,1000,"10,638",127657,MALE,PhD,craft-repair,skydiving,not-in-family,6/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,3,1,YES,1,NO,78900,15780,7890,55230,Chevrolet,1995,NO,234038
11,39, Illinois,250/500,2000,"12,251",147006,MALE,PhD,other-service,yachting,husband,7/1/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,22,1,YES,0,NO,65790,7310,7310,51170,Saab,2007,NO,134756
80,27, Illinois,100/300,1000,"12,285",147417,FEMALE,College,tech-support,exercise,unmarried,19/02/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,13,1,YES,1,YES,52800,10560,5280,36960,Saab,2004,NO,982780
245,40,Indiana,500/1000,500,"7,376",88508,FEMALE,Masters,armed-forces,skydiving,other-relative,6/2/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,0,1,YES,0,NO,85150,13100,13100,58950,Chevrolet,1998,NO,1807038
111,27,Indiana,250/500,500,"11,365",136377,FEMALE,Masters,tech-support,exercise,husband,17/01/2015,Single Vehicle Collision,Side Collision,Total Loss,VA,12,1,YES,2,NO,90970,16540,16540,57890,Accura,2009,NO,1261487
328,48, Illinois,250/500,500,"11,762",141143,MALE,Masters,armed-forces,bungie-jumping,own-child,16/01/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,17,1,YES,2,NO,59400,5940,11880,41580,Honda,2014,NO,3857909
330,50, Illinois,500/1000,1000,"8,154",97846,FEMALE,High School,sales,yachting,husband,4/2/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,19,1,YES,0,NO,49060,8920,8920,31220,Chevrolet,1995,NO,2690765
245,41,Indiana,500/1000,2000,101,1212,MALE,Masters,exec-managerial,basketball,unmarried,28/01/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,4,1,YES,0,YES,73500,7350,14700,51450,Jeep,1999,NO,24745
99,32,Indiana,100/300,1000,"8,818",105821,MALE,JD,craft-repair,golf,unmarried,10/1/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,17,1,YES,1,NO,41130,4570,4570,31990,Dodge,1999,NO,873023
2,28, Illinois,250/500,1000,"11,171",134056,FEMALE,JD,machine-op-inspct,golf,not-in-family,17/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,19,1,YES,0,YES,58140,6460,6460,45220,Saab,2008,NO,22343
233,37, Illinois,100/300,2000,"13,362",160342,FEMALE,High School,sales,video-games,wife,6/2/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,17,1,YES,0,YES,80520,13420,6710,60390,Toyota,2005,NO,3113307
159,37, Illinois,500/1000,1000,745,8944,MALE,Associate,tech-support,camping,wife,7/1/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,13,1,YES,2,NO,70290,7810,7810,54670,Dodge,1999,NO,118508
299,42,Ohio,100/300,2000,"11,978",143733,FEMALE,Associate,craft-repair,movies,wife,24/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,13,1,YES,1,NO,70400,12800,12800,44800,BMW,2000,NO,3581347
86,28,Indiana,100/300,2000,"13,292",159507,MALE,PhD,transport-moving,hiking,unmarried,23/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,19,1,YES,0,YES,70920,11820,11820,47280,Jeep,2002,NO,1143134
429,56,Ohio,250/500,1000,"9,399",112789,MALE,Associate,machine-op-inspct,skydiving,own-child,28/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,0,1,YES,2,YES,39480,6580,6580,26320,Suburu,2002,NO,4032207
250,43,Ohio,500/1000,1000,"10,365",124384,FEMALE,JD,tech-support,polo,own-child,30/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,22,1,YES,1,NO,64900,12980,12980,38940,Volkswagen,2011,NO,2591333
48,35, Illinois,100/300,500,"9,084",109003,FEMALE,JD,exec-managerial,golf,unmarried,30/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,WV,1,1,YES,0,NO,48400,9680,4840,33880,Saab,2005,NO,436012
252,46,Indiana,100/300,1000,"10,350",124202,MALE,Masters,adm-clerical,dancing,wife,8/2/2015,Single Vehicle Collision,Front Collision,Minor Damage,VA,17,1,YES,0,YES,74900,14980,7490,52430,Jeep,2003,NO,2608242
186,37,Ohio,250/500,2000,136,1628,FEMALE,JD,priv-house-serv,exercise,unmarried,28/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,22,1,YES,1,YES,55600,11120,5560,38920,Jeep,2009,NO,25234
467,58,Indiana,500/1000,2000,815,9774,MALE,Masters,transport-moving,bungie-jumping,own-child,3/1/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,2,1,YES,2,NO,55700,5570,11140,38990,Nissan,2014,NO,380372
163,37,Indiana,250/500,500,"9,825",117895,FEMALE,JD,priv-house-serv,dancing,own-child,16/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,20,1,YES,2,YES,49400,4940,9880,34580,Jeep,2005,NO,1601407
352,53, Illinois,250/500,500,"14,943",179316,MALE,Associate,tech-support,exercise,wife,15/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,NC,23,1,YES,2,NO,68750,12500,6250,50000,Chevrolet,2009,NO,5259936
410,54, Illinois,100/300,2000,"5,950",71403,MALE,MD,protective-serv,board-games,own-child,16/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,0,1,YES,0,NO,59520,9920,9920,39680,Honda,2001,NO,2439603
304,49,Indiana,100/300,1000,"12,716",152586,FEMALE,PhD,craft-repair,camping,own-child,21/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,NC,2,1,YES,1,YES,73370,13340,6670,53360,Saab,2013,NO,3865512
202,38, Illinois,100/300,2000,"9,440",113274,FEMALE,Associate,armed-forces,exercise,husband,4/2/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,12,1,YES,1,NO,77440,7040,14080,56320,Nissan,2005,NO,1906779
337,53,Ohio,100/300,500,"10,049",120586,MALE,Associate,armed-forces,basketball,wife,1/2/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,8,1,YES,0,NO,86400,14400,7200,64800,Accura,2001,NO,3386457
56,36,Indiana,100/300,500,"12,776",153307,MALE,JD,farming-fishing,exercise,own-child,20/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,NC,13,1,YES,1,YES,58500,0,6500,52000,Ford,2001,NO,715433
422,60,Indiana,100/300,1000,"12,963",155552,FEMALE,MD,machine-op-inspct,hiking,own-child,14/02/2015,Single Vehicle Collision,Front Collision,Major Damage,NC,11,1,YES,1,NO,85250,15500,7750,62000,Mercedes,1999,NO,5470245
162,35, Illinois,500/1000,2000,"9,372",112469,FEMALE,Masters,handlers-cleaners,bungie-jumping,husband,20/02/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,14,1,YES,0,YES,54340,9880,4940,39520,Toyota,2001,NO,1518332
198,34,Ohio,250/500,1000,"13,137",157641,MALE,Associate,handlers-cleaners,kayaking,other-relative,25/02/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,18,1,YES,1,YES,95000,9500,9500,76000,Ford,2001,NO,2601077
204,40,Ohio,250/500,2000,"14,725",176702,MALE,JD,machine-op-inspct,hiking,husband,27/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,7,1,YES,1,NO,46200,4200,8400,33600,Audi,1997,NO,3003934
254,41, Illinois,250/500,500,"13,177",158127,FEMALE,PhD,handlers-cleaners,skydiving,own-child,7/1/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,8,1,YES,2,NO,63470,5770,11540,46160,BMW,1999,NO,3347022
263,43,Indiana,500/1000,1000,"10,784",129404,FEMALE,Masters,handlers-cleaners,movies,not-in-family,8/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,17,1,YES,2,YES,79320,13220,6610,59490,Nissan,1997,NO,2836104
259,44,Ohio,250/500,2000,"13,798",165579,FEMALE,Masters,exec-managerial,exercise,husband,15/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,8,1,YES,0,YES,105820,16280,16280,73260,Audi,2002,NO,3573747
437,58,Indiana,500/1000,2000,"9,934",119204,MALE,Associate,craft-repair,dancing,own-child,19/01/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,23,1,YES,0,NO,55800,11160,11160,33480,Dodge,2004,NO,4341012
96,26,Ohio,250/500,2000,"12,575",150904,FEMALE,Associate,prof-specialty,bungie-jumping,husband,23/02/2015,Single Vehicle Collision,Front Collision,Total Loss,SC,9,1,YES,2,NO,78320,7120,14240,56960,Saab,2007,NO,1207232
173,36,Ohio,250/500,1000,"10,622",127463,MALE,College,machine-op-inspct,basketball,unmarried,8/2/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,22,1,YES,2,NO,52030,9460,9460,33110,Accura,1995,NO,1837592
446,61, Illinois,100/300,1000,"10,273",123279,FEMALE,High School,adm-clerical,reading,unmarried,7/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,3,1,YES,2,YES,70500,7050,14100,49350,Suburu,2007,NO,4581870
124,32,Indiana,100/300,1000,"10,923",131071,FEMALE,Masters,farming-fishing,kayaking,wife,25/02/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,23,1,YES,0,NO,57700,5770,5770,46160,Toyota,2003,NO,1354400
136,33,Ohio,250/500,1000,"7,126",85514,FEMALE,PhD,craft-repair,paintball,not-in-family,4/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,NC,23,1,YES,0,YES,30700,3070,6140,21490,Toyota,2015,NO,969159
45,37,Indiana,250/500,1000,"9,285",111423,MALE,College,prof-specialty,dancing,wife,1/1/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,1,1,YES,0,YES,52200,10440,5220,36540,Nissan,2005,NO,417836
166,37,Indiana,250/500,500,"12,655",151854,FEMALE,MD,craft-repair,kayaking,not-in-family,25/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,PA,10,1,YES,1,NO,58300,10600,10600,37100,Ford,2001,NO,2100647
228,39,Indiana,500/1000,500,"11,572",138862,FEMALE,JD,sales,reading,husband,19/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,NC,10,1,YES,1,YES,59490,6610,6610,46270,Mercedes,1995,NO,2638378
